id,sentence,subject,relation,object,evidence,target_output,split
134,عبدالرزاق مشاري العدواني وزير.,عبدالرزاق مشاري العدواني,position_held,وزير,وزير,<bor> عبدالرزاق مشاري العدواني <per> وزير <concept> position held <rt> وزير <e>,validation
135,احمد الطخيم سياسي.,احمد الطخيم,position_held,سياسي,سياسي,<bor> احمد الطخيم <per> سياسي <concept> position held <rt> سياسي <e>,train
136,سلطان سلمان سلطان العجمي سياسي.,سلطان سلمان سلطان العجمي,position_held,سياسي,سياسي,<bor> سلطان سلمان سلطان العجمي <per> سياسي <concept> position held <rt> سياسي <e>,train
137,تقلد مزعل محمد هادي محمد النمران منصب رئيس قسم الفحص الفني لمحافظة حولي.,مزعل محمد هادي محمد النمران,position_held,رئيس قسم الفحص الفني لمحافظة حولي,تقلد منصب رئيس قسم الفحص الفني لمحافظة حولي,<bor> مزعل محمد هادي محمد النمران <per> رئيس قسم الفحص الفني لمحافظة حولي <concept> position held <rt> تقلد منصب رئيس قسم الفحص الفني لمحافظة حولي <e>,validation
138,محمد مروي الهديه نائب في مجلس الأمة.,محمد مروي الهديه,position_held,نائب في مجلس الأمة,نائب في مجلس الأمة,<bor> محمد مروي الهديه <per> نائب في مجلس الأمة <concept> position held <rt> نائب في مجلس الأمة <e>,train
139,سعود نشمي عواد معلج الحريجي سياسي.,سعود نشمي عواد معلج الحريجي,position_held,سياسي,سياسي,<bor> سعود نشمي عواد معلج الحريجي <per> سياسي <concept> position held <rt> سياسي <e>,train
140,الشيخ حمد جابر العلي الصباح هو نائب رئيس مجلس الوزراء ووزير الدفاع.,الشيخ حمد جابر العلي الصباح,position_held,نائب رئيس مجلس الوزراء ووزير الدفاع,هو نائب رئيس مجلس الوزراء ووزير الدفاع,<bor> الشيخ حمد جابر العلي الصباح <per> نائب رئيس مجلس الوزراء ووزير الدفاع <concept> position held <rt> هو نائب رئيس مجلس الوزراء ووزير الدفاع <e>,train
141,مبارك براك سالم حطاب الهيفي من الاسلاميون المستقلون.,مبارك براك سالم حطاب الهيفي,position_held,الاسلاميون المستقلون,من الاسلاميون المستقلون,<bor> مبارك براك سالم حطاب الهيفي <per> الاسلاميون المستقلون <concept> position held <rt> من الاسلاميون المستقلون <e>,train
142,عبدالعزيز الفودري هو امر قاعدة احمد الجابر الجوية العقيد الركن طيار.,عبدالعزيز الفودري,position_held,امر قاعدة احمد الجابر الجوية العقيد الركن طيار,هو امر قاعدة احمد الجابر الجوية العقيد الركن طيار,<bor> عبدالعزيز الفودري <per> امر قاعدة احمد الجابر الجوية العقيد الركن طيار <concept> position held <rt> هو امر قاعدة احمد الجابر الجوية العقيد الركن طيار <e>,validation
143,بخيت شبيب بخيت الرشيدي وزير النفط ووزير الكهرباء والماء.,بخيت شبيب بخيت الرشيدي,position_held,وزير النفط,وزير النفط,<bor> بخيت شبيب بخيت الرشيدي <per> وزير النفط <concept> position held <rt> وزير النفط <e>,train
144,النايب عبدالله فالح رجعان راعي الفحماء.,عبدالله فالح رجعان راعي الفحماء,position_held,النايب,النايب عبدالله فالح رجعان راعي الفحماء,<bor> عبدالله فالح رجعان راعي الفحماء <per> النايب <concept> position held <rt> النايب عبدالله فالح رجعان راعي الفحماء <e>,train
145,صياح شايع صياح ابو شيبه سياسي.,صياح شايع صياح ابو شيبه,position_held,سياسي,سياسي,<bor> صياح شايع صياح ابو شيبه <per> سياسي <concept> position held <rt> سياسي <e>,train
146,سعد زنيفر سعد علي العازمي سياسي.,سعد زنيفر سعد علي العازمي,position_held,سياسي,سياسي,<bor> سعد زنيفر سعد علي العازمي <per> سياسي <concept> position held <rt> سياسي <e>,train
147,منال عبود أول سيدة تترشح لمنصب العمودية على مستوى محافظة المنوفية.,منال عبود,position_held,مرشحة لمنصب العمودية,تترشح لمنصب العمودية,<bor> منال عبود <per> مرشحة لمنصب العمودية <concept> position held <rt> تترشح لمنصب العمودية <e>,test
148,عبد الرحمن سالم العتيقي وزير المالية.,عبد الرحمن سالم العتيقي,position_held,وزير المالية,وزير المالية,<bor> عبد الرحمن سالم العتيقي <per> وزير المالية <concept> position held <rt> وزير المالية <e>,validation
149,منيزل جاسر فجري العنزي سياسي.,منيزل جاسر فجري العنزي,position_held,سياسي,سياسي,<bor> منيزل جاسر فجري العنزي <per> سياسي <concept> position held <rt> سياسي <e>,validation
150,ناصر المطيري هو الأمين العام لحوار التعاون الآسيوي.,ناصر المطيري,position_held,الامين العام لحوار التعاون الاسيوي,هو الأمين العام لحوار التعاون الآسيوي,<bor> ناصر المطيري <per> الامين العام لحوار التعاون الاسيوي <concept> position held <rt> هو الأمين العام لحوار التعاون الآسيوي <e>,validation
151,راشد سالم العميري وزير النفط في دولة الكويت.,راشد سالم العميري,position_held,وزير النفط في دولة الكويت,وزير النفط في دولة الكويت,<bor> راشد سالم العميري <per> وزير النفط في دولة الكويت <concept> position held <rt> وزير النفط في دولة الكويت <e>,test
152,الدكتور جاسم الاستاذ وزير الكهرباء والماء والطاقه المتجدده.,الدكتور جاسم الاستاذ,position_held,وزير الكهرباء والماء والطاقه المتجدده,وزير الكهرباء والماء والطاقه المتجدده,<bor> الدكتور جاسم الاستاذ <per> وزير الكهرباء والماء والطاقه المتجدده <concept> position held <rt> وزير الكهرباء والماء والطاقه المتجدده <e>,test
153,سعاد الفضلي عميد كليه العلوم الطبيه المساعده.,سعاد الفضلي,position_held,عميد كليه العلوم الطبيه المساعده,عميد كليه العلوم الطبيه المساعده,<bor> سعاد الفضلي <per> عميد كليه العلوم الطبيه المساعده <concept> position held <rt> عميد كليه العلوم الطبيه المساعده <e>,test
154,محمد الحمد عمل ضابطا بالشرطة الكويتية.,محمد الحمد,position_held,ضابط بالشرطة الكويتية,عمل ضابطا بالشرطة الكويتية,<bor> محمد الحمد <per> ضابط بالشرطة الكويتية <concept> position held <rt> عمل ضابطا بالشرطة الكويتية <e>,train
155,محمد عوض عبيد محمد سالم الرقيب المطيري سياسي كويتي.,محمد عوض عبيد محمد سالم الرقيب المطيري,position_held,سياسي كويتي,سياسي كويتي,<bor> محمد عوض عبيد محمد سالم الرقيب المطيري <per> سياسي كويتي <concept> position held <rt> سياسي كويتي <e>,train
156,عُين الشيخ عبدالله علي عبدالله السالم الصباح وزيرا للدفاع.,الشيخ عبدالله علي عبدالله السالم الصباح,position_held,وزيرا للدفاع,عُين الشيخ عبدالله علي عبدالله السالم الصباح وزيرا للدفاع,<bor> الشيخ عبدالله علي عبدالله السالم الصباح <per> وزيرا للدفاع <concept> position held <rt> عُين الشيخ عبدالله علي عبدالله السالم الصباح وزيرا للدفاع <e>,train
157,طلال المطيري هو مندوب دولة الكويت الدائم لدى جامعة الدول العربية.,طلال المطيري,position_held,مندوب دولة الكويت الدائم لدى جامعة الدول العربية,هو مندوب دولة الكويت الدائم لدى جامعة الدول العربية,<bor> طلال المطيري <per> مندوب دولة الكويت الدائم لدى جامعة الدول العربية <concept> position held <rt> هو مندوب دولة الكويت الدائم لدى جامعة الدول العربية <e>,train
158,ناصر عبدالعزيز حسن صرخوه عضو مجلس عام 1981 عن دائرة الرميثية.,ناصر عبدالعزيز حسن صرخوه,position_held,عضو مجلس عام 1981 عن دائرة الرميثية,عضو مجلس عام 1981 عن دائرة الرميثية,<bor> ناصر عبدالعزيز حسن صرخوه <per> عضو مجلس عام 1981 عن دائرة الرميثية <concept> position held <rt> عضو مجلس عام 1981 عن دائرة الرميثية <e>,train
159,شغلت غدير محمد محمود غلوم رضا أسيري منصب وزيرة الشؤون الاجتماعية.,غدير محمد محمود غلوم رضا أسيري,position_held,وزيرة الشؤون الاجتماعية,شغلت منصب وزيرة الشؤون الاجتماعية,<bor> غدير محمد محمود غلوم رضا أسيري <per> وزيرة الشؤون الاجتماعية <concept> position held <rt> شغلت منصب وزيرة الشؤون الاجتماعية <e>,train
160,راشد سلمان محمد الهبيده العازمي عضو مجلس امه سابق.,راشد سلمان محمد الهبيده العازمي,position_held,عضو مجلس امه سابق,عضو مجلس امه سابق,<bor> راشد سلمان محمد الهبيده العازمي <per> عضو مجلس امه سابق <concept> position held <rt> عضو مجلس امه سابق <e>,train
161,نورية صبيح براك الصبيح وزير التربيه ووزير التعليم العالي.,نوريه صبيح براك الصبيح,position_held,وزير التربيه,وزير التربيه,<bor> نوريه صبيح براك الصبيح <per> وزير التربيه <concept> position held <rt> وزير التربيه <e>,train
162,عبدالعزيز عبدالوهاب العدساني نايب.,عبدالعزيز عبدالوهاب العدساني,position_held,نايب,نايب,<bor> عبدالعزيز عبدالوهاب العدساني <per> نايب <concept> position held <rt> نايب <e>,train
163,صدر مرسوم أميري بتعيين صبيح عبدالعزيز عبدالمحسن المخيزيم وزيراً للكهرباء والماء والطاقة المتجددة.,صبيح عبدالعزيز عبدالمحسن المخيزيم,position_held,وزير الكهرباء والماء والطاقه المتجدده,بتعيين صبيح عبدالعزيز عبدالمحسن المخيزيم وزيراً للكهرباء والماء والطاقة المتجددة,<bor> صبيح عبدالعزيز عبدالمحسن المخيزيم <per> وزير الكهرباء والماء والطاقه المتجدده <concept> position held <rt> بتعيين صبيح عبدالعزيز عبدالمحسن المخيزيم وزيراً للكهرباء والماء والطاقة المتجددة <e>,validation
164,النايب حسين قويعان محمد الشريف المطيري.,حسين قويعان محمد الشريف المطيري,position_held,النايب,النايب حسين قويعان محمد الشريف المطيري,<bor> حسين قويعان محمد الشريف المطيري <per> النايب <concept> position held <rt> النايب حسين قويعان محمد الشريف المطيري <e>,train
165,سعود ارشيد الرشيدي سياسي.,سعود ارشيد الرشيدي,position_held,سياسي,سياسي,<bor> سعود ارشيد الرشيدي <per> سياسي <concept> position held <rt> سياسي <e>,train
166,ضاري عبدالله العثمان هو المستشار بديوان سمو ولي العهد.,ضاري عبدالله العثمان,position_held,المستشار بديوان سمو ولي العهد,هو المستشار بديوان سمو ولي العهد,<bor> ضاري عبدالله العثمان <per> المستشار بديوان سمو ولي العهد <concept> position held <rt> هو المستشار بديوان سمو ولي العهد <e>,train
167,مبارك عبدالله علي صنيدح العجمي رئيس عام لجان الانتخابات العامة لقبيلة العجمان.,مبارك عبدالله علي صنيدح العجمي,position_held,رئيس عام لجان الانتخابات العامة لقبيلة العجمان,رئيس عام لجان الانتخابات العامة لقبيلة العجمان,<bor> مبارك عبدالله علي صنيدح العجمي <per> رئيس عام لجان الانتخابات العامة لقبيلة العجمان <concept> position held <rt> رئيس عام لجان الانتخابات العامة لقبيلة العجمان <e>,test
168,النايب ضيف الله فضيل ضيف الله ابو رميه.,ضيف الله فضيل ضيف الله ابو رميه,position_held,النايب,النايب ضيف الله فضيل ضيف الله ابو رميه,<bor> ضيف الله فضيل ضيف الله ابو رميه <per> النايب <concept> position held <rt> النايب ضيف الله فضيل ضيف الله ابو رميه <e>,train
169,مي جاسم محمد البغلي وزير دولة لشؤون المرأة والطفولة.,مي جاسم محمد البغلي,position_held,وزير دولة لشؤون المرأة والطفولة,وزير دولة لشؤون المرأة والطفولة,<bor> مي جاسم محمد البغلي <per> وزير دولة لشؤون المرأة والطفولة <concept> position held <rt> وزير دولة لشؤون المرأة والطفولة <e>,train
170,مشعان مجبل عواد بطي العازمي نائب سابق في مجلس الأمة الكويتي.,مشعان مجبل عواد بطي العازمي,position_held,نائب سابق في مجلس الأمة الكويتي,نائب سابق في مجلس الأمة الكويتي,<bor> مشعان مجبل عواد بطي العازمي <per> نائب سابق في مجلس الأمة الكويتي <concept> position held <rt> نائب سابق في مجلس الأمة الكويتي <e>,train
171,محمد الجويهل نايب سابق في مجلس الامه الكويتي.,محمد الجويهل,position_held,نايب سابق في مجلس الامه الكويتي,نايب سابق في مجلس الامه الكويتي,<bor> محمد الجويهل <per> نايب سابق في مجلس الامه الكويتي <concept> position held <rt> نايب سابق في مجلس الامه الكويتي <e>,train
172,فهيد العجمي عضو المجلس البلدي.,فهيد العجمي,position_held,عضو المجلس البلدي,عضو المجلس البلدي,<bor> فهيد العجمي <per> عضو المجلس البلدي <concept> position held <rt> عضو المجلس البلدي <e>,train
173,عواد برد العنزي سياسي.,عواد برد العنزي,position_held,سياسي,سياسي,<bor> عواد برد العنزي <per> سياسي <concept> position held <rt> سياسي <e>,train
174,جاسم احمد سلمان الاستاذ سياسي.,جاسم احمد سلمان الاستاذ,position_held,سياسي,سياسي,<bor> جاسم احمد سلمان الاستاذ <per> سياسي <concept> position held <rt> سياسي <e>,test
175,خالد عايد العنزي نائب سابق في مجلس الأمة الكويتي.,خالد عايد العنزي,position_held,نائب سابق في مجلس الأمة الكويتي,نائب سابق في مجلس الأمة الكويتي,<bor> خالد عايد العنزي <per> نائب سابق في مجلس الأمة الكويتي <concept> position held <rt> نائب سابق في مجلس الأمة الكويتي <e>,train
176,خالد عايد العنزي هو النايب.,خالد عايد العنزي,position_held,النايب,هو النايب,<bor> خالد عايد العنزي <per> النايب <concept> position held <rt> هو النايب <e>,train
177,وزير النفط مصطفي جاسم الشمالي.,مصطفي جاسم الشمالي,position_held,وزير النفط,وزير النفط مصطفي جاسم الشمالي,<bor> مصطفي جاسم الشمالي <per> وزير النفط <concept> position held <rt> وزير النفط مصطفي جاسم الشمالي <e>,test
178,معالي وزير الماليه مصطفى جاسم الشمالي.,مصطفى جاسم الشمالي,position_held,وزير الماليه,وزير الماليه مصطفى جاسم الشمالي,<bor> مصطفى جاسم الشمالي <per> وزير الماليه <concept> position held <rt> وزير الماليه مصطفى جاسم الشمالي <e>,train
179,وزير التربيه يحيل الوكيله فاطمه الكندري للتقاعد رسميا.,فاطمه الكندري,position_held,الوكيله,الوكيله فاطمه الكندري,<bor> فاطمه الكندري <per> الوكيله <concept> position held <rt> الوكيله فاطمه الكندري <e>,validation
180,عين صلاح عبدالرضا عبدالله خورشيد وزيرا لوزارة التجارة والصناعة عام 2001.,صلاح عبدالرضا عبدالله خورشيد,position_held,وزيرا لوزارة التجارة والصناعة,عين صلاح عبدالرضا عبدالله خورشيد وزيرا لوزارة التجارة والصناعة,<bor> صلاح عبدالرضا عبدالله خورشيد <per> وزيرا لوزارة التجارة والصناعة <concept> position held <rt> عين صلاح عبدالرضا عبدالله خورشيد وزيرا لوزارة التجارة والصناعة <e>,train
181,فالح حمود الصويلح العازمي سياسي.,فالح حمود الصويلح العازمي,position_held,سياسي,سياسي,<bor> فالح حمود الصويلح العازمي <per> سياسي <concept> position held <rt> سياسي <e>,train
182,سليمان يوسف صالح الذويخ سياسي.,سليمان يوسف صالح الذويخ,position_held,سياسي,سياسي,<bor> سليمان يوسف صالح الذويخ <per> سياسي <concept> position held <rt> سياسي <e>,validation
183,محمد الشمري وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه.,محمد الشمري,position_held,وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه,وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه,<bor> محمد الشمري <per> وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه <concept> position held <rt> وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه <e>,validation
184,محمد الشمري القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو.,محمد الشمري,position_held,القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو,القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو,<bor> محمد الشمري <per> القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو <concept> position held <rt> القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو <e>,validation
185,بدر شبيب الشريعان وزير الكهرباء والماء.,بدر شبيب الشريعان,position_held,وزير الكهرباء والماء,وزير الكهرباء والماء,<bor> بدر شبيب الشريعان <per> وزير الكهرباء والماء <concept> position held <rt> وزير الكهرباء والماء <e>,train
186,حامد البذالي سياسي.,حامد البذالي,position_held,سياسي,سياسي,<bor> حامد البذالي <per> سياسي <concept> position held <rt> سياسي <e>,train
187,فاز احمد سعد الدين في انتخابات مجلس النواب.,احمد سعد الدين,position_held,نائب في مجلس النواب,فاز في انتخابات مجلس النواب,<bor> احمد سعد الدين <per> نائب في مجلس النواب <concept> position held <rt> فاز في انتخابات مجلس النواب <e>,train
188,نواف الفزيع نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012.,نواف الفزيع,position_held,نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012,نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012,<bor> نواف الفزيع <per> نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012 <concept> position held <rt> نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012 <e>,validation
189,بدر العازمي هو مسؤول الشؤون القنصلية.,بدر العازمي,position_held,مسؤول الشؤون القنصلية,هو مسؤول الشؤون القنصلية,<bor> بدر العازمي <per> مسؤول الشؤون القنصلية <concept> position held <rt> هو مسؤول الشؤون القنصلية <e>,train
190,فيصل سعيد نافل سعد الغريب وزير العدل.,فيصل سعيد نافل سعد الغريب,position_held,وزير العدل,وزير العدل,<bor> فيصل سعيد نافل سعد الغريب <per> وزير العدل <concept> position held <rt> وزير العدل <e>,train
191,سالم الحجرف وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان.,سالم فلاح مبارك الحجرف,position_held,وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان,وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان,<bor> سالم فلاح مبارك الحجرف <per> وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان <concept> position held <rt> وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان <e>,test
192,الشيخ عبدالله علي عبدالله السالم الصباح هو وزير الدفاع.,الشيخ عبدالله علي عبدالله السالم الصباح,position_held,وزير الدفاع,هو وزير الدفاع,<bor> الشيخ عبدالله علي عبدالله السالم الصباح <per> وزير الدفاع <concept> position held <rt> هو وزير الدفاع <e>,train
193,حمود يوسف النصف سياسي.,حمود يوسف النصف,position_held,سياسي,سياسي,<bor> حمود يوسف النصف <per> سياسي <concept> position held <rt> سياسي <e>,train
194,احمد عبدالمحسن تركي المليفي وزير العدل بالكويت سابقا.,احمد عبدالمحسن تركي المليفي,position_held,وزير العدل بالكويت سابقا,وزير العدل بالكويت سابقا,<bor> احمد عبدالمحسن تركي المليفي <per> وزير العدل بالكويت سابقا <concept> position held <rt> وزير العدل بالكويت سابقا <e>,train
195,رجا حجيلان شباب المطيري نايب سابق في مجلس الامه الكويتي.,رجا حجيلان شباب المطيري,position_held,نايب سابق في مجلس الامه الكويتي,نايب سابق في مجلس الامه الكويتي,<bor> رجا حجيلان شباب المطيري <per> نايب سابق في مجلس الامه الكويتي <concept> position held <rt> نايب سابق في مجلس الامه الكويتي <e>,test
196,مهلهل المضف نائب في مجلس الأمة الكويتي.,مهلهل خالد احمد المضف,position_held,نائب في مجلس الأمة الكويتي,نائب في مجلس الأمة الكويتي,<bor> مهلهل خالد احمد المضف <per> نائب في مجلس الأمة الكويتي <concept> position held <rt> نائب في مجلس الأمة الكويتي <e>,validation
197,طاهر الفيلكاوي سياسي.,طاهر الفيلكاوي,position_held,سياسي,سياسي,<bor> طاهر الفيلكاوي <per> سياسي <concept> position held <rt> سياسي <e>,train
