id,sentence,subject,relation,object,evidence,split
1,مبارك حمود سعدون الطشه نائب في مجلس الأمة الكويتي.,مبارك حمود سعدون الطشه,position_held,نائب في مجلس الأمة الكويتي,,
2,معصومة صالح محمد المبارك سياسية.,معصومة صالح محمد المبارك,position_held,سياسية,,
3,منصور الشيخ موسى المزيدي عضو المجلس التاسيسي الكويتي.,منصور الشيخ موسا المزيدي,position_held,عضو المجلس التاسيسي الكويتي,,
4,اللواء منصور العوضي هو وكيل وزارة الداخلية المساعد لشؤون أمن المنافذ.,اللواء منصور العوضي,position_held,وكيل وزاره الداخليه المساعد لشوون امن المنافذ,,
5,مبارك محمد كنيفذ مرزوق الوعلان المطيري سياسي.,مبارك محمد كنيفذ مرزوق الوعلان المطيري,position_held,سياسي,,
7,سعود محمد راشد بطي الشويعر هو أحد النواب الجدد الذين دخلوا المجلس.,سعود محمد راشد بطي الشويعر,position_held,نائب,,
8,النايب عبدالله حشر عايد البرغش.,عبدالله حشر عايد البرغش,position_held,النايب,,
12,المستشار جمال هاضل سالم الجلاوي هو وزير العدل ووزير الدولة لشؤون النزاهة.,جمال هاضل سالم الجلاوي,position_held,وزير العدل ووزير الدولة لشؤون النزاهة,,
16,عبدالعزيز ماجد الماجد وزير العدل ووزير الأوقاف والشؤون الإسلامية.,عبدالعزيز ماجد الماجد,position_held,وزير العدل,,
19,حمود عبدالله الرقبه هو وزير اسبق.,حمود عبدالله الرقبه,position_held,وزير اسبق,,
21,محمد ضيف الله القحص العنزي سياسي.,محمد ضيف الله القحص العنزي,position_held,سياسي,,
22,يوسف الوزان سياسي.,يوسف الوزان,position_held,سياسي,,
23,نايف محمد الحجرف هو مساعد مدير امن محافظه الفروانيه.,نايف محمد الحجرف,position_held,مساعد مدير امن محافظه الفروانيه,,
24,حسين براك الدوسري سياسي.,حسين براك الدوسري,position_held,سياسي,,
25,خليل ابراهيم عبدالله المزين نايب.,خليل ابراهيم عبدالله المزين,position_held,نايب,,
26,عيد هذال الرشيدي وزير الاشغال العامه.,عيد هذال الرشيدي,position_held,وزير الاشغال العامه,,
28,عايض علوش الخميشي العازمي هو عضو مجلس الأمة الراحل.,عايض علوش الخميشي العازمي,position_held,عضو مجلس الامه الراحل,,
30,فراج زبن عربيد جلوي العربيد نايب.,فراج زبن عربيد جلوي العربيد,position_held,نايب,,
31,عبدالوهاب سليمان الفوزان وزير الصحه الكويتي السابق.,عبد الوهاب سليمان الفوزان,position_held,وزير الصحه الكويتي السابق,,
33,بدر غريد سعوي راشد البذالي شارك في الانتخابات البرلمانيه.,بدر غريد سعوي راشد البذالي,position_held,مشارك في الانتخابات البرلمانية,,
35,فلاح ضاحي فلاح ضاحي دلواح الهاجري نائب في مجلس الأمة الكويتي.,فلاح ضاحي فلاح ضاحي دلواح الهاجري,position_held,نائب في مجلس الأمة الكويتي,,
38,سعد الخراز هو وزير الشؤون الجديد.,سعد الخراز,position_held,وزير الشؤون الجديد,,
39,مبارك فالح رجعان راعي الفحماء سياسي.,مبارك فالح رجعان راعي الفحماء,position_held,سياسي,,
42,النائب عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري.,عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري,position_held,النائب,,
43,مطلق محمد صعصيع الشليمي نايب سابق في مجلس الامه الكويتي.,مطلق محمد صعصيع الشليمي,position_held,نايب سابق في مجلس الامه الكويتي,,
44,سعد الحتيرش أمير بقعاء.,سعد الحتيرش,position_held,أمير بقعاء,,
47,كان محمد صقر المعوشرجي أول وزير للأوقاف بعد الاحتلال العراقي.,محمد صقر المعوشرجي,position_held,وزير للأوقاف,,
48,راشد عوض مطلق الجويسري سياسي.,راشد عوض مطلق الجويسري,position_held,سياسي,,
52,كان النائب الأسبق في مجلس الأمة فلاح مطلق هذال مقدن الصواغ العازمي.,فلاح مطلق هذال مقدن الصواغ العازمي,position_held,النائب الأسبق في مجلس الأمة,,
53,العقيد فيصل الديحاني مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية.,فيصل الديحاني,position_held,مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية,,
54,خالد حسين عبد علي عبد الرحيم الشطي نايب سابق في مجلس الامه الكويتي.,خالد حسين عبد علي عبد الرحيم الشطي,position_held,نايب سابق في مجلس الامه الكويتي,,
58,أصبح ناصر صنهات العصيمي مختاراً لمنطقة خيطان.,ناصر صنهات العصيمي,position_held,مختاراً لمنطقة خيطان,,
59,نواف بهيش سعد هواش العازمي عضو مجلس الامه الكويتي.,نواف بهيش سعد هواش العازمي,position_held,عضو مجلس الامه الكويتي,,
60,المهندس جراح المطيري هو نايب المدير العام.,جراح المطيري,position_held,نايب المدير العام,,
62,علي احمد ابراهيم احمد البغلي هو وزير كويتي سابق.,علي احمد ابراهيم احمد البغلي,position_held,وزير كويتي سابق,,
66,مريم عقيل هاشم العقيل وزيرة للشؤون الاجتماعية ووزيرة دولة للشؤون الاقتصادية.,مريم عقيل هاشم العقيل,position_held,وزيره للشوون الاجتماعيه,,
67,الرئيس التنفيذي لشركة نفط الكويت هو احمد العيدان.,احمد العيدان,position_held,الرئيس التنفيذي لشركة نفط الكويت,,
72,فيصل الحجي بوخضور هو السفير الكويتي الأسبق في البحرين.,فيصل الحجي بوخضور,position_held,السفير الكويتي الاسبق,,
74,عبدلله عبدالصمد معرفي وزير الاسكان.,عبدلله عبدالصمد معرفي,position_held,وزير الاسكان,,
76,عمار محمد عمار لبدان العجمي سياسي.,عمار محمد عمار لبدان العجمي,position_held,سياسي,,
77,بدر فهد علي الدويله وزير كويتي سابق.,بدر فهد علي الدويله,position_held,وزير كويتي سابق,,
78,علي ثنيان صالح الأذينة سياسي.,علي ثنيان صالح الأذينة,position_held,سياسي,,
79,تم تعيين خالد محمد العجمي مديرا للموارد البشريه.,خالد محمد العجمي,position_held,مدير الموارد البشريه,,
80,محمد عبد المحسن فراج العصيمي سياسي.,محمد عبد المحسن فراج العصيمي,position_held,سياسي,,
83,راشد صالح التوحيد عضو مجلس الامه الاسبق.,راشد صالح التوحيد,position_held,عضو مجلس الامه الاسبق,,
85,عوده عوده الرويعي هو واحد من 20 نائباً سابقاً حافظوا على مقاعدهم الانتخابية.,عوده عوده الرويعي,position_held,نائب سابق,,
86,ثامر سعد غيث السويط الظفيري نائب مجلس الأمة الكويتي.,ثامر سعد غيث السويط الظفيري,position_held,نائب مجلس الأمة الكويتي,,
87,الشيخ ثامر علي صباح السالم الصباح وزير الداخليه.,الشيخ ثامر علي صباح السالم الصباح,position_held,وزير الداخليه,,
88,تم تعيين الدكتور نايف الرومي محافظا لهيئة تقويم التعليم العام.,نايف الرومي,position_held,محافظ لهيئة تقويم التعليم العام,,
90,الحميدي السبيعي نائب سابق في مجلس الأمة الكويتي.,الحميدي السبيعي,position_held,نائب سابق في مجلس الأمة الكويتي,,
92,مفلح العازمي سياسي.,مفلح العازمي,position_held,سياسي,,
93,انتخب محمد رفيع ضمن هذا المجلس.,محمد رفيع,position_held,عضو في المجلس,,
95,يوسف المطيري المتحدث باسم وزاره الشوون الاجتماعيه.,يوسف المطيري,position_held,المتحدث باسم وزاره الشوون الاجتماعيه,,
96,عبد الله حمد العجمي سياسي.,عبد الله حمد العجمي,position_held,سياسي,,
98,عاليه فيصل حمود زيد الخالد نايب سابق في مجلس الامه الكويتي.,عاليه فيصل حمود زيد الخالد,position_held,نايب سابق في مجلس الامه الكويتي,,
101,مبارك بنيه الخرينج رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي.,مبارك بنيه الخرينج,position_held,رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي,,
102,عبدالله متعب مسفر مرزوق العرادة كان عضوا في مجلس الأمة الكويتي.,عبدالله متعب مسفر مرزوق العراده,position_held,عضو في مجلس الأمة الكويتي,,
103,تم تعيين محمد ابطيحان الدويهيس وزيرا للتخطيط.,محمد ابطيحان الدويهيس,position_held,وزير التخطيط,,
104,مفرج نهار مفرج خلف المطيري سياسي.,مفرج نهار مفرج خلف المطيري,position_held,سياسي,,
105,عبدالله المسلماني محامي الدوله.,عبدالله المسلماني,position_held,محامي الدوله,,
107,ماجد مساعد عوض مطلق الرشاش المطيري نائب في مجلس الأمة الكويتي.,ماجد مساعد عوض مطلق الرشاش المطيري,position_held,نائب في مجلس الأمة الكويتي,,
108,ماجد مساعد المطيري عضو مجلس الأمة.,ماجد مساعد المطيري,position_held,عضو مجلس الأمة,,
109,أنور عراك عنتر عواد الفكر الظفيري نائب سابق في مجلس الأمة الكويتي.,أنور عراك عنتر عواد الفكر الظفيري,position_held,نائب سابق في مجلس الأمة الكويتي,,
113,محمد عبدالرحمن بوزبر وزير العدل ووزير دولة لشؤون تعزيز النزاهة.,محمد عبدالرحمن بوزبر,position_held,وزير العدل,,
114,فيصل عبدالحميد الصانع عضو مجلس الامه.,فيصل عبدالحميد الصانع,position_held,عضو مجلس الامه,,
116,خليفه مساعد حماده سياسي كويتي.,خليفه مساعد حماده,position_held,سياسي كويتي,,
119,الاستيناف تؤيد حبس النائب السابق ماجد المطيري.,ماجد المطيري,position_held,النائب السابق,,
128,عبدالعزيز طارق حمود عبدالعزيز الصقعبي عضو مجلس الامه 2020.,عبدالعزيز طارق حمود عبدالعزيز الصقعبي,position_held,عضو مجلس الامه 2020,,
132,حسام عبدالله عبدالوهاب حسين الرومي وزير الدولة للشؤون البلدية.,حسام عبدالله عبدالوهاب حسين الرومي,position_held,وزير الدولة للشؤون البلدية,,
133,جاسر خالد الجاسر الراجحي نائب سابق في البرلمان.,جاسر خالد الجاسر الراجحي,position_held,نائب سابق في البرلمان,,
134,عايض علوش عوض المطيري سياسي.,عايض علوش عوض المطيري,position_held,سياسي,,
135,النائب خلف العتيبي.,خلف العتيبي,position_held,نائب,,
136,يوسف خالد المخلد المطيري نائب سابق في مجلس الأمة الكويتي.,يوسف خالد المخلد المطيري,position_held,نائب سابق في مجلس الأمة الكويتي,,
141,جنان محسن حسن رمضان بوشهري وزيره الاشغال.,جنان محسن حسن رمضان بوشهري,position_held,وزيره الاشغال,,
142,معالي الدكتورة أمثال هادي هايف الحويلة تتولى الرئاسة.,أمثال هادي هايف الحويلة,position_held,رئيسة,,
144,عبد الله مشاري الروضان سياسي.,عبد الله مشاري الروضان,position_held,سياسي,,
147,جمعان محمد ناصر الحريتي نجح في انتخابات المجلس الوطني الكويتي 1990.,جمعان محمد ناصر الحريتي,position_held,عضو في المجلس الوطني الكويتي,,
148,جمعان ظاهر ماضي الحربش سياسي.,جمعان ظاهر ماضي الحربش,position_held,سياسي,,
149,مسعود سعد هملان الهملان سياسي.,مسعود سعد هملان الهملان,position_held,سياسي,,
150,بدر زايد حمد الداهوم العازمي هو رئيس المكتب السياسي لتجمع ثوابت الأمة.,بدر زايد حمد الداهوم العازمي,position_held,رئيس المكتب السياسي لتجمع ثوابت الأمة,,
151,بدر ضاحي العجيل نائب سابق في مجلس الأمة الكويتي.,بدر ضاحي العجيل,position_held,نائب سابق في مجلس الأمة الكويتي,,
155,مبارك سالم مبارك ناصر الحريص سياسي.,مبارك سالم مبارك ناصر الحريص,position_held,سياسي,,
159,الفريق الركن سلطان المطيري.,سلطان المطيري,position_held,الفريق الركن,,
160,خالد محمد شديد الطاحوس سياسي.,خالد محمد شديد الطاحوس,position_held,سياسي,,
161,خالد مشعان منيخر طاحوس عضو مجلس الامه الكويتي.,خالد مشعان منيخر طاحوس,position_held,عضو مجلس الامه الكويتي,,
162,يعين اللواء ركن مهندس متقاعد محمد عبد العزيز سعود بوعركي.,محمد عبد العزيز سعود بوعركي,position_held,اللواء ركن مهندس متقاعد,,
164,علي سالم جعيلان الدقباسي رئيس البرلمان العربي سابقا.,علي سالم جعيلان الدقباسي,position_held,رئيس البرلمان العربي سابقا,,
165,مصلح هميجان مرشد العازمي سياسي.,مصلح هميجان مرشد العازمي,position_held,سياسي,,
167,موسى حسين عبدالله حسن الصراف عضو في جمعية المهندسين الكويتية.,موسى حسين عبدالله حسن الصراف,position_held,عضو في جمعية المهندسين الكويتية,,
168,سليمان سعدون البدر وزير التربية.,سليمان سعدون البدر,position_held,وزير التربية,,
169,متعب ناصر محمد الجلال سعود السهلي له سيرة برلمانية.,متعب ناصر محمد الجلال سعود السهلي,position_held,برلماني,,
170,سعد الحريتي هو الملحق العسكري الكويتي في بلجيكا.,سعد الحريتي,position_held,الملحق العسكري الكويتي في بلجيكا,,
172,طلال مبارك العيار سياسي.,طلال مبارك العيار,position_held,سياسي,,
174,فهد صالح ناصر محمد الخنه هو سياسي كويتي.,فهد صالح ناصر محمد الخنه,position_held,سياسي كويتي,,
175,مبارك بنيه خلف حمدان العرف سياسي.,مبارك بنيه خلف حمدان العرف,position_held,سياسي,,
176,وليد خالد فهد الجري نايب سابق في مجلس الامه.,وليد خالد فهد الجري,position_held,نايب سابق في مجلس الامه,,
178,عبدالله عبدالرحمن عبدالله الطويل وزير الصحه.,عبدالله عبدالرحمن عبدالله الطويل,position_held,وزير الصحه,,
181,محمد خلف دهش المهمل سياسي.,محمد خلف دهش المهمل,position_held,سياسي,,
182,مريم العلي المعاضيد نائب رئيس للبحث والدراسات العليا في جامعة قطر.,مريم العلي المعاضيد,position_held,نائب رئيس للبحث والدراسات العليا في جامعة قطر,,
183,عيسى عبد الله محمد بهمن سياسي.,عيسى عبد الله محمد بهمن,position_held,سياسي,,
184,عميد محمد طنا طواري صحفان العنزي مدير عام الاداره العامه لهندسه الاتصالات.,محمد طنا طواري صحفان العنزي,position_held,مدير عام الاداره العامه لهندسه الاتصالات,,
191,فاز سلطان جدعان عواد مذود (اللغيصم) الشمري في انتخابات مجلس الأمة 2013.,سلطان جدعان عواد مذود (اللغيصم) الشمري,position_held,عضو مجلس الأمة,,
192,محمد الودعاني قاضي محكمة بقعاء.,محمد الودعاني,position_held,قاضي محكمة بقعاء,,
193,بدر سيار عيد عفاس الشمري سياسي.,بدر سيار عيد عفاس الشمري,position_held,سياسي,,
194,فيصل سعود صالح الدويسان سياسي.,فيصل سعود صالح الدويسان,position_held,سياسي,,
198,شريدة عبدالله سعد المعوشرجي نائب رئيس مجلس الوزراء ووزير دولة لشؤون مجلس الوزراء.,شريدة عبدالله سعد المعوشرجي,position_held,نائب رئيس مجلس الوزراء,,
199,مطلق مزيد مطلق المسعود سياسي.,مطلق مزيد مطلق المسعود,position_held,سياسي,,
200,النائب محمد عبدالله خالد عبدالرحمن العبدالجادر.,محمد عبدالله خالد عبدالرحمن العبدالجادر,position_held,النائب,,
205,صدر مرسوم يقضي بتعيين نوره سليمان سالم الفصام وزيره للماليه.,نوره سليمان سالم الفصام,position_held,وزيره للماليه,,
210,يشغل النايب محمد عبدالفتاح ادم منصب امين عام حزب مستقبل وطن بمحافظه قنا.,النايب محمد عبدالفتاح ادم,position_held,امين عام حزب مستقبل وطن بمحافظه قنا,,
211,عواطف العازمي مديراً للقسم النسائي بالبلدية.,عواطف العازمي,position_held,مديراً للقسم النسائي بالبلدية,,
212,براك ناصر فلاح النون ابو حقطه سياسي.,براك ناصر فلاح النون ابو حقطه,position_held,سياسي,,
213,حامد محمد العازمي وزير التربية.,حامد محمد العازمي,position_held,وزير التربية,,
215,حسين مزيد عويس هادي الديحاني نائب رئيس المجلس البلدي.,حسين مزيد عويس هادي الديحاني,position_held,نائب رئيس المجلس البلدي,,
216,حسين مزيد الديحاني عضو مجلس الأمة.,حسين مزيد عويس هادي الديحاني,position_held,عضو مجلس الأمة,,
220,اعتمد مشروع مرسوم تعيين الدكتوره شفيقه العوضي مديرا عاما للهييه بدرجه وكيل وزاره.,شفيقه العوضي,position_held,مديرا عاما للهييه بدرجه وكيل وزاره,,
221,تركي محمد فلاح فالح المجليه العازمي سياسي.,تركي محمد فلاح فالح المجليه العازمي,position_held,سياسي,,
222,أشرف الوزير عبدالله الهاجري على تشكيل فرق لمتابعة فواتير القياديين في الدولة.,عبدالله الهاجري,position_held,الوزير,,
224,سالم مثيب الاذينه العازمي وزير كويتي سابق.,سالم مثيب الاذينه العازمي,position_held,وزير كويتي سابق,,
225,شغل سالم مثيب أحمد مثيب الأذينة منصب رئيس الهيئة العامة للاتصالات وتقنية المعلومات بدرجة وزير.,سالم مثيب أحمد مثيب الأذينة,position_held,رئيس الهيئة العامة للاتصالات وتقنية المعلومات بدرجة وزير,,
226,صالح عبد الوهاب حسين الرومي سياسي.,صالح عبد الوهاب حسين الرومي,position_held,سياسي,,
228,فيصل عبدالرحمن مدلج محمد المدلج وزير الدولة لشؤون مجلس الوزراء.,فيصل عبدالرحمن مدلج محمد المدلج,position_held,وزير الدولة لشؤون مجلس الوزراء,,
229,عباس حسين شعبان الخضاري سياسي.,عباس حسين شعبان الخضاري,position_held,سياسي,,
230,نوره العجمي وكيل وزاره التجاره المساعد للاعمال الرقابيه.,نوره العجمي,position_held,وكيل وزاره التجاره المساعد للاعمال الرقابيه,,
233,"في مجلس الامه 2020، اشترك محمد المطير بتقديم استجواب لرئيس مجلس الوزراء.",محمد المطير,position_held,عضو مجلس الأمة,,
237,حمد خليفه الحميده العازمي سياسي.,حمد خليفه الحميده العازمي,position_held,سياسي,,
238,فيصل جاسم عبدالله القضيبي سياسي.,فيصل جاسم عبدالله القضيبي,position_held,سياسي,,
239,أكد العميد ايمن احمد عثمان لسودان تربيون أن ولايات الخرطوم والنيل الأبيض والجزيرة الآن خالية من مليشيات الدعم السريع.,ايمن احمد عثمان,position_held,العميد,,
240,جاسم اسماعيل جمعه نائب في مجلس الأمة الكويتي.,جاسم اسماعيل جمعه,position_held,نائب في مجلس الأمة الكويتي,,
242,راشد سيف الحجيلان سياسي.,راشد سيف الحجيلان,position_held,سياسي,,
243,عبدالعزيز بودستور هو مدير المصنفات الفنية.,عبدالعزيز بودستور,position_held,مدير المصنفات الفنيه,,
245,عسكر عويد عسكر بقان العنزي نائب سابق.,عسكر عويد عسكر بقان العنزي,position_held,نائب سابق,,
246,فارس سعد عيد عبد الله العتيبي سياسي.,فارس سعد عيد عبد الله العتيبي,position_held,سياسي,,
247,عبدالرزاق مشاري العدواني وزير.,عبدالرزاق مشاري العدواني,position_held,وزير,,
248,احمد الطخيم سياسي.,احمد الطخيم,position_held,سياسي,,
249,سلطان سلمان سلطان العجمي سياسي.,سلطان سلمان سلطان العجمي,position_held,سياسي,,
250,تقلد مزعل محمد هادي محمد النمران منصب رئيس قسم الفحص الفني لمحافظة حولي.,مزعل محمد هادي محمد النمران,position_held,رئيس قسم الفحص الفني لمحافظة حولي,,
253,محمد مروي الهديه نائب في مجلس الأمة.,محمد مروي الهديه,position_held,نائب في مجلس الأمة,,
254,سعود نشمي عواد معلج الحريجي سياسي.,سعود نشمي عواد معلج الحريجي,position_held,سياسي,,
255,الشيخ حمد جابر العلي الصباح هو نائب رئيس مجلس الوزراء ووزير الدفاع.,الشيخ حمد جابر العلي الصباح,position_held,نائب رئيس مجلس الوزراء ووزير الدفاع,,
257,مبارك براك سالم حطاب الهيفي من الاسلاميون المستقلون.,مبارك براك سالم حطاب الهيفي,position_held,الاسلاميون المستقلون,,
258,عبدالعزيز الفودري هو امر قاعدة احمد الجابر الجوية العقيد الركن طيار.,عبدالعزيز الفودري,position_held,امر قاعدة احمد الجابر الجوية العقيد الركن طيار,,
260,بخيت شبيب بخيت الرشيدي وزير النفط ووزير الكهرباء والماء.,بخيت شبيب بخيت الرشيدي,position_held,وزير النفط,,
262,النايب عبدالله فالح رجعان راعي الفحماء.,عبدالله فالح رجعان راعي الفحماء,position_held,النايب,,
263,صياح شايع صياح ابو شيبه سياسي.,صياح شايع صياح ابو شيبه,position_held,سياسي,,
264,سعد زنيفر سعد علي العازمي سياسي.,سعد زنيفر سعد علي العازمي,position_held,سياسي,,
266,منال عبود أول سيدة تترشح لمنصب العمودية على مستوى محافظة المنوفية.,منال عبود,position_held,مرشحة لمنصب العمودية,,
267,عبد الرحمن سالم العتيقي وزير المالية.,عبد الرحمن سالم العتيقي,position_held,وزير المالية,,
268,منيزل جاسر فجري العنزي سياسي.,منيزل جاسر فجري العنزي,position_held,سياسي,,
269,ناصر المطيري هو الأمين العام لحوار التعاون الآسيوي.,ناصر المطيري,position_held,الامين العام لحوار التعاون الاسيوي,,
270,راشد سالم العميري وزير النفط في دولة الكويت.,راشد سالم العميري,position_held,وزير النفط في دولة الكويت,,
272,الدكتور جاسم الاستاذ وزير الكهرباء والماء والطاقه المتجدده.,الدكتور جاسم الاستاذ,position_held,وزير الكهرباء والماء والطاقه المتجدده,,
273,سعاد الفضلي عميد كليه العلوم الطبيه المساعده.,سعاد الفضلي,position_held,عميد كليه العلوم الطبيه المساعده,,
274,محمد الحمد عمل ضابطا بالشرطة الكويتية.,محمد الحمد,position_held,ضابط بالشرطة الكويتية,,
277,محمد عوض عبيد محمد سالم الرقيب المطيري سياسي كويتي.,محمد عوض عبيد محمد سالم الرقيب المطيري,position_held,سياسي كويتي,,
281,عُين الشيخ عبدالله علي عبدالله السالم الصباح وزيرا للدفاع.,الشيخ عبدالله علي عبدالله السالم الصباح,position_held,وزيرا للدفاع,,
287,طلال المطيري هو مندوب دولة الكويت الدائم لدى جامعة الدول العربية.,طلال المطيري,position_held,مندوب دولة الكويت الدائم لدى جامعة الدول العربية,,
291,ناصر عبدالعزيز حسن صرخوه عضو مجلس عام 1981 عن دائرة الرميثية.,ناصر عبدالعزيز حسن صرخوه,position_held,عضو مجلس عام 1981 عن دائرة الرميثية,,
295,شغلت غدير محمد محمود غلوم رضا أسيري منصب وزيرة الشؤون الاجتماعية.,غدير محمد محمود غلوم رضا أسيري,position_held,وزيرة الشؤون الاجتماعية,,
296,راشد سلمان محمد الهبيده العازمي عضو مجلس امه سابق.,راشد سلمان محمد الهبيده العازمي,position_held,عضو مجلس امه سابق,,
297,نورية صبيح براك الصبيح وزير التربيه ووزير التعليم العالي.,نوريه صبيح براك الصبيح,position_held,وزير التربيه,,
298,عبدالعزيز عبدالوهاب العدساني نايب.,عبدالعزيز عبدالوهاب العدساني,position_held,نايب,,
299,صدر مرسوم أميري بتعيين صبيح عبدالعزيز عبدالمحسن المخيزيم وزيراً للكهرباء والماء والطاقة المتجددة.,صبيح عبدالعزيز عبدالمحسن المخيزيم,position_held,وزير الكهرباء والماء والطاقه المتجدده,,
306,النايب حسين قويعان محمد الشريف المطيري.,حسين قويعان محمد الشريف المطيري,position_held,النايب,,
307,سعود ارشيد الرشيدي سياسي.,سعود ارشيد الرشيدي,position_held,سياسي,,
309,ضاري عبدالله العثمان هو المستشار بديوان سمو ولي العهد.,ضاري عبدالله العثمان,position_held,المستشار بديوان سمو ولي العهد,,
311,مبارك عبدالله علي صنيدح العجمي رئيس عام لجان الانتخابات العامة لقبيلة العجمان.,مبارك عبدالله علي صنيدح العجمي,position_held,رئيس عام لجان الانتخابات العامة لقبيلة العجمان,,
312,النايب ضيف الله فضيل ضيف الله ابو رميه.,ضيف الله فضيل ضيف الله ابو رميه,position_held,النايب,,
315,مي جاسم محمد البغلي وزير دولة لشؤون المرأة والطفولة.,مي جاسم محمد البغلي,position_held,وزير دولة لشؤون المرأة والطفولة,,
316,مشعان مجبل عواد بطي العازمي نائب سابق في مجلس الأمة الكويتي.,مشعان مجبل عواد بطي العازمي,position_held,نائب سابق في مجلس الأمة الكويتي,,
317,محمد الجويهل نايب سابق في مجلس الامه الكويتي.,محمد الجويهل,position_held,نايب سابق في مجلس الامه الكويتي,,
363,فهيد العجمي عضو المجلس البلدي.,فهيد العجمي,position_held,عضو المجلس البلدي,,
364,عواد برد العنزي سياسي.,عواد برد العنزي,position_held,سياسي,,
365,جاسم احمد سلمان الاستاذ سياسي.,جاسم احمد سلمان الاستاذ,position_held,سياسي,,
367,خالد عايد العنزي نائب سابق في مجلس الأمة الكويتي.,خالد عايد العنزي,position_held,نائب سابق في مجلس الأمة الكويتي,,
368,خالد عايد العنزي هو النايب.,خالد عايد العنزي,position_held,النايب,,
369,وزير النفط مصطفي جاسم الشمالي.,مصطفي جاسم الشمالي,position_held,وزير النفط,,
370,معالي وزير الماليه مصطفى جاسم الشمالي.,مصطفى جاسم الشمالي,position_held,وزير الماليه,,
375,وزير التربيه يحيل الوكيله فاطمه الكندري للتقاعد رسميا.,فاطمه الكندري,position_held,الوكيله,,
377,عين صلاح عبدالرضا عبدالله خورشيد وزيرا لوزارة التجارة والصناعة عام 2001.,صلاح عبدالرضا عبدالله خورشيد,position_held,وزيرا لوزارة التجارة والصناعة,,
378,فالح حمود الصويلح العازمي سياسي.,فالح حمود الصويلح العازمي,position_held,سياسي,,
382,سليمان يوسف صالح الذويخ سياسي.,سليمان يوسف صالح الذويخ,position_held,سياسي,,
383,الفريق الركن سلطان المطيري.,سلطان المطيري,position_held,الفريق الركن,,
384,محمد الشمري وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه.,محمد الشمري,position_held,وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه,,
385,محمد الشمري القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو.,محمد الشمري,position_held,القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو,,
395,بدر شبيب الشريعان وزير الكهرباء والماء.,بدر شبيب الشريعان,position_held,وزير الكهرباء والماء,,
396,حامد البذالي سياسي.,حامد البذالي,position_held,سياسي,,
397,فاز احمد سعد الدين في انتخابات مجلس النواب.,احمد سعد الدين,position_held,نائب في مجلس النواب,,
398,نواف الفزيع نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012.,نواف الفزيع,position_held,نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012,,
400,بدر العازمي هو مسؤول الشؤون القنصلية.,بدر العازمي,position_held,مسؤول الشؤون القنصلية,,
401,فيصل سعيد نافل سعد الغريب وزير العدل.,فيصل سعيد نافل سعد الغريب,position_held,وزير العدل,,
403,سالم الحجرف وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان.,سالم فلاح مبارك الحجرف,position_held,وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان,,
406,الشيخ عبدالله علي عبدالله السالم الصباح هو وزير الدفاع.,الشيخ عبدالله علي عبدالله السالم الصباح,position_held,وزير الدفاع,,
407,حمود يوسف النصف سياسي.,حمود يوسف النصف,position_held,سياسي,,
408,احمد عبدالمحسن تركي المليفي وزير العدل بالكويت سابقا.,احمد عبدالمحسن تركي المليفي,position_held,وزير العدل بالكويت سابقا,,
409,رجا حجيلان شباب المطيري نايب سابق في مجلس الامه الكويتي.,رجا حجيلان شباب المطيري,position_held,نايب سابق في مجلس الامه الكويتي,,
412,مهلهل المضف نائب في مجلس الأمة الكويتي.,مهلهل خالد احمد المضف,position_held,نائب في مجلس الأمة الكويتي,,
413,طاهر الفيلكاوي سياسي.,طاهر الفيلكاوي,position_held,سياسي,,
